Meaning,Word,Tag
w_big,trzl,a
w_small,žluesj,a
w_wide,treašl,a
w_narrow,bjia,a
w_old,ptaid,a
w_new,fsagž,a
w_young,flioš,a
w_tall,taizm,a
w_high,šriesp,a
w_short,šnpš,a
w_low,gleižm,a
w_good,ždžg,a
w_bad,skobn,a
w_red,sjietj,a
w_blue,štrpl,a
w_green,žnoegz,a
w_yellow,hjušn,a
w_purple,šjšp,a
w_black,dmzn,a
w_white,hlaug,a
w_because,dzuokf,conj
w_but,znaužl,conj
w_and,skeihj,conj
w_other,fsua,det
w_many,tjaesk,det
w_few,lut,det
w_this,zbuižd,det
w_that,floebn,det
w_here,šraožg,loc
w_there,diapš,loc
w_thing,špuažd,n
w_person,gžafs,n
w_place,zniob,n
w_book,kŋfj,n
w_bread,šjuodm,n
w_music,gnažj,n
w_milk,hleufj,n
w_animal,tripn,n
w_fish,bopj,n
w_bird,hršč,n
w_man,fŋn,n
w_woman,kšzd,n
w_child,knoudm,n
w_grass,smiužm,n
w_water,hjoitl,n
w_stone,puož,n
w_god,ždeuzd,n
w_religion,žbŋkn,n
w_country,šjegn,n
w_city,čousm,n
w_island,djeazj,n
w_sun,dzoukj,n
w_moon,kššfl,n
w_star,šraj,n
w_bed,žuiǰ,n
w_today,bžuotj,time
w_tomorrow,kmeidl,time
w_yesterday,šloets,time
w_morning,krsj,time
w_afternoon,špaužj,time
w_evening,sjlg,time
w_bring,prakn,v
w_buy,žbžpt,v
w_come,veipn,v
w_do,hz,v
w_drink,spakn,v
w_eat,dluos,v
w_get,tjiebž,v
w_give,šnauzb,v
w_go,ptrts,v
w_hear,čuežj,v
w_know,fjiošl,v
w_like,skoežn,v
w_listen,tliozg,v
w_put,gnŋš,v
w_say,žjiožd,v
w_see,ǰevr,v
w_take,treol,v
w_think,žnoašl,v
w_use,tjuoŋ,v
w_write,skskm,v
w_read,bluvj,v
n_pl,ask,
n_nom,aef,
n_acc,oiš,
n_dat,ašpia,
n_gen,ažn,
n_inst,azbieš,
n_loc,askfr,
n_dim,dmiazn,
n_aug,kmad,
v_agr_1s,ple,
v_agr_2s,tjie,
v_agr_3s,aeš,
v_agr_1p,drš,
v_agr_2p,žmei,
v_agr_3p,grain,
v_agr_4,skoitr,
v_tense_past,uzd,
v_tense_present,ujzl,
v_tense_future,ušoul,
v_aspect_start,hluižl,
v_aspect_repeat,šjeakm,
v_aspect_habit,pnaofš,
v_aspect_continuous,fjiepn,
v_aspect_complete,hjaežj,
v_aspect_experience,fjuav,
v_mood_ability,gžiošj,
v_mood_desire,pteubr,
v_mood_evidential,bzuats,
v_mood_subjunctive,tsevr,
v_mood_imperative,nezf,
v_mood_jussive,dniezj,
v_mood_interogative,sjemk,
v_mood_optative,šlasr,
v_att_malicious_intent,žgium,
v_att_riddance,šmeizg,
v_att_disgust,žbeobz,
v_att_selfbenefit,špišp,
v_att_otherbenefit,pjumš,
v_att_unexpected,žmuegž,
v_att_expected,zulz,
v_att_evidential,reupt,
v_att_certain,bsazn,
v_att_uncertain,žleašm,
v_val_pass,tluižd,
v_val_caus,sjomd,
v_neg,higl,
a_comp,aešm,
a_sup,fnuibl,
a_dim,joezm,
a_aug,zbrbr,
n_to_v,žnuokm,
n_to_a,gnižl,
v_to_n,kšasp,
v_to_a,ŋafn,
a_to_n,kšekf,
a_to_v,psouf,
v_reported_speech,baigž,
prep_time_at,trz,
prep_time_before,zlš,
prep_time_after,gruokm,
prep_time_ago,glždz,
prep_time_future,tlusk,
prep_time_duration,ǰuešk,
prep_time_from,gžioŋ,
prep_time_until,suč,
prep_time_since,bnofj,
prep_loc_static_surface,frŋ,
prep_loc_static_content,dziopj,
prep_loc_static_left,žruebr,
prep_loc_static_right,kfuobž,
prep_loc_static_above,kmasb,
prep_loc_static_below,psaifn,
prep_loc_static_front,zduegl,
prep_loc_static_behind,broužj,
prep_loc_static_beside,hjuoǰ,
prep_loc_static_opposite,zroikš,
prep_loc_static_between,pjeudz,
prep_fig_media,hžd,
prep_fig_source,driadr,
prep_accomp_person,biobž,
prep_accomp_tool,pšv,
prep_quant_more,šluzl,
prep_quant_approx,bžaegr,
prep_quant_less,gžuats,
prep_dynamic_crossing,gzadl,
prep_dynamic_origin,zroesk,
prep_dynamic_destination,fnuohj,
prep_fig_topic,jlt,
prep_fig_purpose,flubz,
prep_fig_identity,zbeuj,
