phoneme,initial,medial,final
,1,0,1
p,1,0,0
pt,0,0,0
pf,0,0,0
ps,0,0,0
pš,0,0,0
pn,0,0,0
pr,0,0,0
pl,0,0,0
pj,0,0,0
t,1,0,0
tf,0,0,0
tr,0,0,0
tl,0,0,0
tj,0,0,0
k,1,0,0
ks,0,0,0
kš,0,0,0
kf,0,0,0
kj,0,0,0
km,0,0,0
kn,0,0,0
b,0,0,0
bz,0,0,0
bž,0,0,0
bn,0,0,0
br,0,0,0
bl,0,0,0
bj,0,0,0
d,0,0,0
dm,0,0,0
dn,0,0,0
dr,0,0,0
dl,0,0,0
dj,0,0,0
g,0,0,0
gz,0,0,0
gž,0,0,0
gn,0,0,0
gr,0,0,0
gl,0,0,0
gj,0,0,0
f,0,0,0
fs,0,0,0
fš,0,0,0
fm,0,0,0
fn,0,0,0
fr,0,0,0
fl,0,0,0
fj,0,0,0
s,0,0,0
sp,0,0,0
st,0,0,0
sk,0,0,0
sm,0,0,0
sn,0,0,0
sr,0,0,0
sl,0,0,0
sj,0,0,0
šp,0,0,0
š,0,0,0
št,0,0,0
šk,0,0,0
šm,0,0,0
šn,0,0,0
šr,0,0,0
šl,0,0,0
šj,0,0,0
h,1,0,0
hm,0,0,0
hn,0,0,0
hr,0,0,0
hl,0,0,0
hj,0,0,0
v,1,0,0
vm,0,0,0
vn,0,0,0
vr,0,0,0
vl,0,0,0
vj,0,0,0
z,0,0,0
zg,0,0,0
zd,0,0,0
zb,0,0,0
zm,0,0,0
zn,0,0,0
zr,0,0,0
zl,0,0,0
zj,0,0,0
ž,0,0,0
žb,0,0,0
žd,0,0,0
žg,0,0,0
žm,0,0,0
žn,0,0,0
žr,0,0,0
žl,0,0,0
žj,0,0,0
ts,0,0,0
č,0,0,0
dz,0,0,0
ǰ,0,0,0
m,0,0,0
n,0,0,0
ŋ,0,0,0
r,0,0,0
l,1,0,0
j,1,0,0
a,0,1,1
e,0,1,1
i,0,1,1
o,0,1,1
u,0,1,1
ae,0,1,0
ai,0,1,0
ao,0,1,0
au,0,1,0
ea,0,1,0
ei,0,1,0
eo,0,1,0
eu,0,1,0
ia,0,1,0
ie,0,1,0
io,0,1,0
iu,0,1,0
oa,0,1,0
oe,0,1,0
oi,0,1,0
ou,0,1,0
ua,0,1,0
ue,0,1,0
ui,0,1,0
uo,0,1,0
